Title,Author,Times Mentioned,Goodreads Score,Number of Reviews,Summary
Leave Society,Tao Lin,0,3.98,"1,859","""Leave Society"" by Tao Lin explores themes of isolation, technology, and the search for meaning in contemporary life. The novel follows its protagonist as he navigates personal disconnection and societal expectations, ultimately contemplating the implications of withdrawing from modern society. Through a blend of introspection and surreal narrative elements, Lin captures the complexities of existence in an increasingly digital world."
The Moral economy of the peasant,James Scott,0,really liked it 4.00,343,"In ""The Moral Economy of the Peasant,"" James Scott explores the economic practices and social relations of rural communities, emphasizing the concept of a ""moral economy"" that prioritizes subsistence and equitable distribution over profit maximization. He argues that peasants engage in acts of resistance against exploitative systems to protect their livelihoods and social values. Through ethnographic studies, Scott illustrates how these moral principles inform peasant behavior and their responses to external pressures, including state policies and market forces."
Three Comrades,Erich Remarque,0,4.48,"35,366","""Three Comrades"" by Erich Maria Remarque follows the lives of three World War I veterans—Robert Lohkamp, Otto Köster, and Gottfried Lenz—living in post-war Germany during the tumult of the 1920s. As they navigate their struggles with trauma, friendship, and love, their lives become increasingly intertwined with the socio-political upheaval of the time. The story poignantly explores themes of loss, loyalty, and the passage of time against a backdrop of a fading world and the rise of fascism."
Lonesome Dove,Larry McMurtry,0,it was amazing 5.00,9,"""Lonesome Dove"" by Larry McMurtry is an epic Western novel that follows the journey of two retired Texas Rangers, Woodrow F. Call and Augustus ""Gus"" McCrae, as they drive a herd of cattle from Texas to Montana. Amidst the challenges of the rugged frontier, the story explores themes of friendship, love, and the harsh realities of life in the American West. The richly drawn characters and their intricate relationships highlight both the beauty and brutality of the landscape they traverse."
Stand on Zanzibar,John Brunner,0,it was ok 2.00,1,"""Stand on Zanzibar"" by John Brunner is a dystopian science fiction novel set in a near-future world facing overpopulation, social upheaval, and political tensions. The narrative follows multiple characters as they navigate the complexities of life in an overcrowded society while exploring themes of identity, technology, and the ethical dilemmas of genetic engineering. The book's innovative structure intersperses prose with social commentary and news snippets, creating a vivid and unsettling portrayal of a potential future."
Cobalt Red,Siddarth Kara,0,,,"""Cobalt Red"" by Siddarth Kara exposes the dark global supply chain of cobalt, a critical mineral used in batteries for electric vehicles and other technologies. The book highlights the exploitation, human rights abuses, and environmental destruction faced by miners, particularly in the Democratic Republic of Congo, where many are subjected to dangerous working conditions and child labor. Kara's narrative combines investigative journalism with a call to action, urging readers to consider the ethical implications of the materials that power modern technology."
How the world really works,Vaclav Smil,0,did not like it 1.00,1,"In ""How the World Really Works,"" Vaclav Smil examines the fundamental processes and systems that underpin modern civilization, focusing on energy, food production, industrial processes, and environmental impact. Smil argues that a deep understanding of these intricate interconnections is essential for addressing global challenges such as climate change, resource management, and sustainability. Through a combination of scientific analysis and historical perspective, he emphasizes the importance of recognizing the complexity of the world to make informed decisions for the future."
The laws of human nature,Robert Greene,0,4.52,"2,157","""The Laws of Human Nature"" by Robert Greene explores the underlying motivations and behaviors that drive human interactions. Drawing on historical examples and psychological theories, Greene outlines strategies for understanding and influencing others, emphasizing self-awareness and empathy. The book aims to equip readers with insights into social dynamics, ultimately fostering deeper connections and navigating complexities in relationships."
Broken Money,Lyn Alden,0,0.00,0,"""Broken Money"" by Lyn Alden explores the fundamental flaws in the current monetary system and its impact on the economy and society. Alden discusses the implications of fiat currency, central banking policies, and inflation, advocating for a sounder financial framework that incorporates principles of hard money. Through her analysis, she provides insights into potential solutions and the future of money in a rapidly changing economic landscape."
Our Mathematical Universe,Max Tegmark,0,4.24,21,"""Our Mathematical Universe"" by Max Tegmark explores the profound idea that the universe itself is fundamentally mathematical in nature. Tegmark proposes a hypothesis known as the ""Mathematical Universe Hypothesis,"" which suggests that all physical reality emerges from mathematical structures. Through a blend of physics, philosophy, and cosmology, he argues that our understanding of the universe can be enhanced by viewing it as a complex mathematical entity, fundamentally reshaping our perception of existence."
The Creative Act,Rick Rubin,0,liked it 3.00,1,"""The Creative Act: A Way of Being"" by Rick Rubin explores the nature of creativity and the process of artistic expression. Drawing from his extensive experience as a music producer, Rubin shares insights on how to cultivate creativity in daily life, emphasizing the importance of authenticity, intuition, and the connection between the artist and their work. The book serves as both a guide and an inspiration for those seeking to harness their creative potential."
"Memories, Dreams, Reflections",CG Jung,0,4.17,"34,802","""Memories, Dreams, Reflections"" is an autobiographical work by Swiss psychiatrist Carl Gustav Jung, in which he explores his personal life, spiritual journey, and the development of his psychological theories. The book delves into Jung's reflections on his childhood, dreams, and significant experiences that shaped his understanding of the human psyche, emphasizing concepts such as the collective unconscious and individuation. Through a blend of narrative and psychological insight, Jung offers a profound glimpse into the interplay between personal experience and analytical psychology."
Leviathan and its enemies,Samuel Francis,0,4.51,69,"""Leviathan and Its Enemies"" by Samuel Francis explores the tensions between government authority and individual freedom, focusing on the struggles between centralized power and local autonomy. Francis argues that the historical development of the state has often led to the suppression of personal liberty, advocating for a return to more decentralized forms of governance. Through a blend of historical analysis and political theory, the book highlights the ongoing conflict between state power and individual rights throughout history."
Lady Joker,Koru Takamura,0,,,"""Lady Joker"" by Koru Takamura is a gripping crime novel that revolves around a meticulously planned kidnapping and ransom plot. The story follows a group of misfits who come together to execute their plan, revealing the complexities of their motivations and the societal issues that drive them. As the narrative unfolds, it explores themes of justice, morality, and the impact of crime on human relationships, ultimately challenging the reader's perceptions of right and wrong."
1Q84,Haruki Murakami,0,0.00,0,"""1Q84"" by Haruki Murakami intertwines the lives of two characters, Aomame and Tengo, in a parallel reality set in Tokyo in the year 1984. As they navigate a surreal world filled with mysterious occurrences, including a cult and a peculiar breed of little people, they search for each other while grappling with the concepts of love, loneliness, and fate. The novel intricately explores themes of alternate realities and the nature of time, blending elements of fantasy and psychological depth."
The Gate Thief,Orson Scott Card,0,3.78,"16,574","""The Gate Thief"" by Orson Scott Card is the sequel to ""The Lost Gate"" and continues the journey of Danny North, a young man with the rare ability to use gates to travel between worlds. As Danny grapples with his powers and the complexities of his destiny, he faces powerful enemies and navigates the struggles of identity and family, ultimately seeking to protect both his own world and the realms of the gods. The story blends themes of magic, adventure, and personal growth, showcasing Danny's development as he confronts his past and future."
Ends and Means,Aldous Huxley,0,4.20,238,"""Ends and Means"" by Aldous Huxley explores the complex relationship between moral principles and political actions. Through essays and philosophical discussions, Huxley examines the ethical dilemmas of achieving desirable outcomes and the potential justifications for using unethical means. The work critiques utilitarianism and emphasizes the importance of aligning ends with moral integrity."
A Canticle for Leibowitz,Walter M Miller,0,3.71,41,"""A Canticle for Leibowitz"" by Walter M. Miller Jr. is a post-apocalyptic science fiction novel set in a future where civilization has been devastated by nuclear war. The story follows the monks of the Albertian Order of Leibowitz, who strive to preserve remnants of human knowledge and culture in a world that has fallen into superstition and ignorance. As they navigate through cycles of destruction and rebirth over centuries, the narrative explores themes of faith, knowledge, and the enduring struggle between progress and regression."
The Reset,Jack Moore,0,4.42,24,"""The Reset"" by Jack Moore explores themes of personal and societal change in the face of overwhelming challenges. The narrative follows the protagonist as they navigate a transformative journey that encourages self-discovery and resilience, ultimately advocating for a renewed perspective on life and relationships. Through compelling storytelling, the book offers insights into the power of reinvention and the importance of embracing new beginnings."
The rise and fall of the thid reich,William Shirer,0,,,"""The Rise and Fall of the Third Reich"" by William Shirer is a comprehensive historical account of Nazi Germany, exploring the political, social, and military factors that led to its rise under Adolf Hitler and the subsequent devastation during World War II. Shirer, a journalist and firsthand witness to many of the events, delves into the inner workings of the Nazi regime, its propaganda, and the factors that contributed to its eventual collapse in 1945. This work serves as both a detailed narrative of this dark chapter in history and a cautionary tale about the dangers of totalitarianism."
The Island,Aldous Huxley,0,3.85,"32,541","""The Island,"" by Aldous Huxley, is a philosophical novel that explores the concept of an ideal society through the fictional island of Pala, which has developed a unique blend of Eastern spirituality and Western scientific principles. The story follows Will Farnaby, a journalist who finds himself shipwrecked on the island and becomes intrigued by its harmonious way of life, including its progressive approaches to education, medicine, and community. As he navigates the tension between Pala’s ideals and external threats from colonialist forces, the novel raises questions about the nature of happiness, self-actualization, and the impact of technological progress on human existence."
Divided Kingdom,Rupert Thomson,0,3.49,"1,335","""Divided Kingdom"" by Rupert Thomson presents a dystopian vision of a future Britain, fragmented into regions ruled by different ideologies and governments. The story follows a protagonist navigating this divided landscape, exploring themes of identity, belonging, and the human spirit amidst disarray. As the protagonist seeks connection and truth, the narrative delves into the complexities of societal division and the quest for unity."
Life's Ratchet,Peter Thomson,0,,,"""Life's Ratchet: How Molecular Machines Extract Order from Chaos"" by Peter Thomson explores the intricate world of molecular machines and their role in sustaining life's processes. The book delves into how these microscopic structures operate in chaotic environments to create order, highlighting their significance in biology and the fundamental principles of thermodynamics. Through engaging explanations and examples, Thomson illustrates the beauty of life's complexity at the molecular level."
The Moviegoer,Walker Percy,0,4.50,2,"""The Moviegoer,"" a novel by Walker Percy, follows Binx Bolling, a disenchanted young man living in New Orleans who is on a quest for meaning and authenticity in his life. As he navigates relationships, societal expectations, and his obsession with movies, Binx experiences an existential crisis that drives him to seek deeper connections and understanding of himself. The novel explores themes of alienation, identity, and the search for purpose in a modern world."
